Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
cynical,2.0,complaint,2.0,conditional,3.0,concerned,16.0
defensive,5.0,"complaint,",1.0,conflictual,1.0,defensive,15.0
defiant,1.0,complimentary,3.0,confrontational,3.0,advisory,15.0
derisive,2.0,concern,1.0,confused,3.0,commanding,15.0
derogatory,39.0,concerned,2.0,confusion,2.0,with,13.0
"derogatory,",1.0,concerning,1.0,consequential,1.0,challenging,13.0
directive,6.0,condemnatory,3.0,considerate,1.0,opinionated,13.0
disappointed,2.0,condemning,1.0,constructive,3.0,threatening,13.0
disapproving,6.0,condescending,5.0,contemptuous,4.0,emotive,12.0
discriminatory,2.0,confrontational,71.0,contentious,1.0,warning,11.0
disdainful,1.0,connotations,1.0,controversial,2.0,derisive,11.0
dismissive,43.0,constructive,1.0,cooperative,1.0,discriminatory,11.0
disparaging,7.0,conversational,45.0,courteous,1.0,subjective,10.0
disrespectful,5.0,cordial,1.0,critical,71.0,cautionary,9.0
distressed,1.0,corrective,2.0,criticism,2.0,admonishing,9.0
dramatic,1.0,critical,138.0,criticizing,1.0,or,9.0
emotional,5.0,criticism,1.0,curiosity,4.0,apologetic,8.0
enthusiastic,1.0,criticizing,1.0,curious,4.0,inflammatory,8.0
excited,1.0,critique,1.0,deceptive,1.0,a,7.0
exclusionary,2.0,cynical,1.0,defensive,7.0,biased,7.0
expressive,4.0,decisive,2.0,derisive,4.0,serious,7.0
firm,1.0,defensive,3.0,derogatory,5.0,exclusionary,7.0
formal,12.0,demanding,2.0,descriptive,1.0,anger,7.0
friendly,2.0,demeaning,3.0,determined,1.0,discontent,7.0
frustrated,26.0,derisive,5.0,directive,2.0,playful,6.0
frustration,1.0,derogatory,74.0,disappointed,3.0,authoritative,6.0
harsh,1.0,descriptive,19.0,disappointment,5.0,mixed,6.0
hopeful,1.0,diplomatic,1.0,disapproval,18.0,of,6.0
hostile,29.0,direct,21.0,disapproving,34.0,political,6.0
humorous,1.0,directive,20.0,discomfort,1.0,disdainful,6.0
imperative,2.0,discriminatory,6.0,discontent,7.0,evaluative,6.0
inappropriate,1.0,dismissive,39.0,discriminative,1.0,but,6.0
incredulous,1.0,disparaging,7.0,discriminatory,3.0,antagonistic,6.0
inflammatory,1.0,disrespectful,6.0,disdain,3.0,curious,6.0
informal,111.0,divisive,2.0,disdainful,5.0,resentful,5.0
informational,1.0,doubt,1.0,dislike,1.0,annoyance,5.0
informative,15.0,emotional,27.0,dismissive,19.0,urgent,5.0
inquisitive,11.0,emotive,12.0,disparaging,9.0,suggestive,5.0
insensitive,2.0,evaluative,6.0,displeased,3.0,contemptuous,5.0
insulting,2.0,exclusionary,3.0,disrespect,1.0,disappointed,5.0
ironic,2.0,exclusive,2.0,disrespectful,7.0,friendly,5.0
judgemental,1.0,explanatory,2.0,dissatisfaction,1.0,supportive,5.0
judgmental,8.0,explicit,1.0,distressed,1.0,disappointment,5.0
matter-of-fact,1.0,expressing,2.0,distrustful,2.0,nostalgic,4.0
metaphorical,1.0,expression,1.0,disturbing,1.0,concern,4.0
mixed,2.0,expressive,41.0,doubtful,4.0,hint,4.0
mocking,24.0,figurative,2.0,educational,1.0,potentially,4.0
mourning,1.0,final,1.0,empathetic,1.0,admiring,4.0
negative,10.0,forceful,1.0,encouraging,3.0,somewhat,4.0
neutral,72.0,formal,6.0,enthusiastic,1.0,violent,4.0
offensive,3.0,friendly,2.0,excited,1.0,polite,4.0
optimistic,1.0,frustrated,2.0,exclusionary,2.0,constructive,4.0
or,3.0,frustration,2.0,exclusive,1.0,doubtful,4.0
passive,1.0,generalizing,1.0,extremely,1.0,condemnatory,4.0
polite,3.0,harsh,2.0,factual,1.0,confused,4.0
political,1.0,hint,2.0,focused,1.0,conditional,4.0
positive,6.0,historical,1.0,for,1.0,criticizing,4.0
potentially,1.0,hopeful,1.0,friendly,1.0,teasing,4.0
proud,1.0,hostile,12.0,frustrated,24.0,ironic,4.0
provocative,4.0,humorous,2.0,frustration,41.0,imperative,4.0
questioning,15.0,imperative,2.0,"frustration,",1.0,annoyed,4.0
"questioning,",1.0,implicative,1.0,gratitude,1.0,curiosity,4.0
reproachful,1.0,implicit,1.0,grief,1.0,exclusive,3.0
requestive,1.0,inappropriate,1.0,grim,1.0,regretful,3.0
resentful,1.0,incendiary,2.0,guilty,1.0,impatient,3.0
respectful,2.0,inflammatory,7.0,harmful,1.0,humorous,3.0
sarcastic,84.0,informal,125.0,hatred,1.0,indifferent,3.0
satirical,1.0,informational,1.0,hint,2.0,hopeful,3.0
serious,6.0,informative,238.0,hopeful,1.0,complaint,3.0
skeptical,5.0,inquiring,2.0,hostile,54.0,demeaning,3.0
slightly,1.0,inquisitive,7.0,humor,1.0,harsh,3.0
somewhat,1.0,insensitive,1.0,hurt,1.0,disdain,3.0
stern,1.0,instructional,1.0,impatient,3.0,cynical,3.0
suggestive,1.0,instructive,1.0,improvement,1.0,objective,3.0
sympathetic,1.0,insulting,15.0,indifferent,3.0,complimentary,3.0
threatening,5.0,interrogative,1.0,inquisitive,2.0,criticism,3.0
urgent,2.0,intimate,1.0,ironic,2.0,blaming,3.0
violent,1.0,judgmental,31.0,irritated,1.0,appreciative,3.0
warning,2.0,metaphorical,2.0,irritation,1.0,ambiguous,3.0
,,mockery,2.0,joking,1.0,personal,3.0
,,mocking,4.0,judgmental,4.0,insensitive,3.0
,,narrative,3.0,justification,1.0,encouraging,3.0
,,negative,25.0,justified,1.0,matter-of-fact,3.0
,,neutral,48.0,light-hearted,1.0,prejudiced,3.0
,,of,4.0,lighthearted,1.0,respectful,3.0
,,offensive,21.0,malicious,1.0,metaphorical,3.0
,,opinionated,13.0,matter-of-fact,2.0,religious,3.0
,,oppositional,1.0,mild,1.0,displeased,3.0
,,overtone,1.0,mildly,1.0,narrative,3.0
,,pejorative,1.0,mixed,4.0,comparative,3.0
,,personal,3.0,mocking,9.0,demanding,2.0
,,persuasive,1.0,negative,308.0,blame,2.0
,,plain,1.0,neutral,56.0,distrustful,2.0
,,playful,5.0,nostalgic,4.0,decisive,2.0
,,pleading,1.0,objective,3.0,divisive,2.0
,,poetic,1.0,observational,1.0,corrective,2.0
,,polarizing,1.0,of,2.0,yet,2.0
,,polite,1.0,offensive,3.0,mockery,2.0
,,political,5.0,optimistic,1.0,explanatory,2.0
,,positive,2.0,or,6.0,anxious,2.0
,,possessive,1.0,perplexed,1.0,confusion,2.0
,,potentially,1.0,person,1.0,expressing,2.0
,,prejudiced,3.0,pessimistic,1.0,controversial,2.0
,,provocative,15.0,playful,1.0,figurative,2.0
,,questioning,7.0,positive,21.0,admiration,2.0
,,racially,1.0,potential,1.0,incendiary,2.0
,,reflective,2.0,potentially,2.0,reflective,2.0
,,regional,1.0,praise,1.0,appreciation,2.0
,,religious,3.0,pride,1.0,inquiring,2.0
,,reprimanding,1.0,proactive,1.0,abrasive,2.0
,,resentful,1.0,provocative,1.0,reassuring,2.0
,,rhetorical,1.0,reassuring,2.0,body-shaming,2.0
,,sarcasm,1.0,refusal,1.0,enthusiastic,2.0
,,sarcastic,9.0,regret,1.0,excited,2.0
,,scientific,1.0,regretful,3.0,inappropriate,2.0
,,self-defense,1.0,rejection,2.0,suspicious,2.0
,,skeptical,4.0,relief,1.0,to,2.0
,,skepticism,1.0,requesting,1.0,towards,2.0
,,slang,1.0,resentful,3.0,informational,2.0
,,slightly,12.0,resignation,1.0,rejection,2.0
,,somewhat,3.0,resigned,1.0,distressed,2.0
,,speculative,1.0,respectful,1.0,cautious,2.0
,,spiritual,1.0,retaliation,1.0,celebratory,2.0
,,statement,1.0,retributive,1.0,"colloquial,",2.0
,,straightforward,1.0,revolutionary,1.0,optimistic,2.0
,,subjective,10.0,sadness,2.0,sadness,2.0
,,suggestive,4.0,sarcastic,4.0,dissatisfaction,1.0
,,teasing,1.0,self-deprecating,1.0,selfish,1.0
,,threatening,2.0,selfish,1.0,disturbing,1.0
,,undertone,1.0,serious,1.0,dislike,1.0
,,urgent,1.0,skeptical,12.0,strong,1.0
,,vague,1.0,slightly,4.0,discriminative,1.0
,,violent,1.0,strong,1.0,self-deprecating,1.0
,,vulgar,1.0,supportive,5.0,discomfort,1.0
,,warning,3.0,surprise,1.0,educational,1.0
,,well-wishing,1.0,suspicion,1.0,disrespect,1.0
,,with,8.0,suspicious,2.0,light-hearted,1.0
,,yet,2.0,teasing,3.0,surprise,1.0
,,,,the,1.0,determined,1.0
,,,,threatening,6.0,wary,1.0
,,,,to,2.0,vindictive,1.0
,,,,towards,2.0,vengeful,1.0
,,,,uncertainty,1.0,consequential,1.0
,,,,uncomfortable,1.0,urgency,1.0
,,,,urgency,1.0,uncomfortable,1.0
,,,,urgent,2.0,uncertainty,1.0
,,,,vengeful,1.0,considerate,1.0
,,,,vindictive,1.0,contentious,1.0
,,,,violent,2.0,cooperative,1.0
,,,,warning,6.0,courteous,1.0
,,,,wary,1.0,the,1.0
,,,,with,5.0,suspicion,1.0
,,,,worried,1.0,empathetic,1.0
,,,,,,deceptive,1.0
,,,,,,revolutionary,1.0
,,,,,,factual,1.0
,,,,,,retributive,1.0
,,,,,,extremely,1.0
,,,,,,improvement,1.0
,,,,,,proactive,1.0
,,,,,,irritated,1.0
,,,,,,pride,1.0
,,,,,,irritation,1.0
,,,,,,praise,1.0
,,,,,,potential,1.0
,,,,,,pessimistic,1.0
,,,,,,person,1.0
,,,,,,perplexed,1.0
,,,,,,joking,1.0
,,,,,,observational,1.0
,,,,,,justification,1.0
,,,,,,mildly,1.0
,,,,,,mild,1.0
,,,,,,malicious,1.0
,,,,,,justified,1.0
,,,,,,refusal,1.0
,,,,,,hurt,1.0
,,,,,,humor,1.0
,,,,,,grief,1.0
,,,,,,lighthearted,1.0
,,,,,,retaliation,1.0
,,,,,,focused,1.0
,,,,,,for,1.0
,,,,,,resigned,1.0
,,,,,,"frustration,",1.0
,,,,,,gratitude,1.0
,,,,,,resignation,1.0
,,,,,,regret,1.0
,,,,,,requesting,1.0
,,,,,,relief,1.0
,,,,,,competitive,1.0
,,,,,,grim,1.0
,,,,,,guilty,1.0
,,,,,,harmful,1.0
,,,,,,hatred,1.0
,,,,,,conflictual,1.0
,,,,,,explicit,1.0
,,,,,,compared,1.0
,,,,,,blunt,1.0
,,,,,,academic,1.0
,,,,,,accusative,1.0
,,,,,,accusing,1.0
,,,,,,aggression,1.0
,,,,,,alarmist,1.0
,,,,,,an,1.0
,,,,,,analytical,1.0
,,,,,,argumentative,1.0
,,,,,,bias,1.0
,,,,,,boastful,1.0
,,,,,,stern,1.0
,,,,,,bullying,1.0
,,,,,,charged,1.0
,,,,,,coercive,1.0
,,,,,,combative,1.0
,,,,,,"complaint,",1.0
,,,,,,concerning,1.0
,,,,,,condemning,1.0
,,,,,,connotations,1.0
,,,,,,cordial,1.0
,,,,,,sympathetic,1.0
,,,,,,satirical,1.0
,,,,,,caution,1.0
,,,,,,defiant,1.0
,,,,,,adamant,1.0
,,,,,,agitated,1.0
,,,,,,alarming,1.0
,,,,,,"angry,",1.0
,,,,,,cheerful,1.0
,,,,,,complaining,1.0
,,,,,,confident,1.0
,,,,,,conspiratorial,1.0
,,,,,,critical/disparaging,1.0
,,,,,,"derogatory,",1.0
,,,,,,requestive,1.0
,,,,,,dramatic,1.0
,,,,,,firm,1.0
,,,,,,incredulous,1.0
,,,,,,judgemental,1.0
,,,,,,mourning,1.0
,,,,,,passive,1.0
,,,,,,proud,1.0
,,,,,,"questioning,",1.0
,,,,,,reproachful,1.0
,,,,,,critique,1.0
,,,,,,diplomatic,1.0
,,,,,,doubt,1.0
,,,,,,undertone,1.0
,,,,,,sarcasm,1.0
,,,,,,scientific,1.0
,,,,,,self-defense,1.0
,,,,,,skepticism,1.0
,,,,,,slang,1.0
,,,,,,speculative,1.0
,,,,,,spiritual,1.0
,,,,,,statement,1.0
,,,,,,straightforward,1.0
,,,,,,vague,1.0
,,,,,,expression,1.0
,,,,,,vulgar,1.0
,,,,,,well-wishing,1.0
,,,,,,"Harper,",1.0
,,,,,,accusation,1.0
,,,,,,action,1.0
,,,,,,adversarial,1.0
,,,,,,affectionate,1.0
,,,,,,apology,1.0
,,,,,,betrayal,1.0
,,,,,,rhetorical,1.0
,,,,,,reprimanding,1.0
,,,,,,regional,1.0
,,,,,,racially,1.0
,,,,,,final,1.0
,,,,,,forceful,1.0
,,,,,,generalizing,1.0
,,,,,,historical,1.0
,,,,,,implicative,1.0
,,,,,,implicit,1.0
,,,,,,instructional,1.0
,,,,,,instructive,1.0
,,,,,,interrogative,1.0
,,,,,,intimate,1.0
,,,,,,oppositional,1.0
,,,,,,overtone,1.0
,,,,,,pejorative,1.0
,,,,,,persuasive,1.0
,,,,,,plain,1.0
,,,,,,pleading,1.0
,,,,,,poetic,1.0
,,,,,,polarizing,1.0
,,,,,,possessive,1.0
,,,,,,worried,1.0
