Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
neutral,29.0,imperative,5.0,generous,1.0,punitive,5.0
nostalgic,1.0,implicative,1.0,hint,1.0,discontent,5.0
of,1.0,inciting,1.0,hopeful,1.0,subjective,5.0
offensive,4.0,inflammatory,4.0,hostile,70.0,encouraging,5.0
opinionated,1.0,informal,330.0,hostility,2.0,nationalistic,5.0
or,4.0,"informal,",1.0,humorous,2.0,interrogative,4.0
patronizing,2.0,informational,1.0,impatience,1.0,suggestive,4.0
playful,1.0,informative,109.0,impatient,2.0,suspicious,4.0
preaching,1.0,"informative,",1.0,imperative,1.0,inquiring,4.0
protective,1.0,inquisitive,6.0,indifferent,1.0,taunting,4.0
provocative,4.0,insistent,1.0,indignation,1.0,inflammatory,4.0
questioning,17.0,instructive,4.0,inquiring,2.0,resigned,4.0
reflective,1.0,insulting,17.0,inquisitive,2.0,evaluative,4.0
reprimanding,1.0,intense,1.0,insensitive,1.0,reflective,4.0
resentful,1.0,interrogative,2.0,instructional,1.0,instructive,4.0
resigned,2.0,intimidating,2.0,insulting,3.0,humorous,3.0
rude,2.0,investigative,1.0,intimidation,1.0,pessimistic,3.0
sarcasm,1.0,judgemental,1.0,ironic,1.0,condemnatory,3.0
sarcastic,79.0,judgmental,25.0,irritated,1.0,blunt,3.0
self-deprecating,1.0,light-hearted,1.0,irritation,2.0,disdain,3.0
serious,1.0,"metaphorical,",1.0,judgmental,7.0,fearful,3.0
skeptical,3.0,mild,1.0,light-hearted,1.0,abusive,3.0
somewhat,1.0,mocking,4.0,longing,1.0,pejorative,3.0
spiteful,1.0,moralistic,1.0,malicious,1.0,a,3.0
statement,1.0,narrative,2.0,manipulative,1.0,formal,3.0
stern,1.0,nationalistic,4.0,menacing,1.0,resentful,3.0
subjective,2.0,negative,46.0,mild,1.0,forceful,3.0
suggestive,1.0,neutral,32.0,mixed,1.0,criticizing,3.0
suspicious,1.0,offensive,20.0,mocking,7.0,impatient,3.0
taunting,2.0,opinionated,5.0,motivating,1.0,intimidating,3.0
thoughtful,1.0,passive-aggressive,1.0,nationalistic,1.0,protective,3.0
threatening,17.0,pejorative,3.0,negative,367.0,coercive,3.0
urgent,2.0,"personal,",1.0,neutral,33.0,somewhat,3.0
violent,1.0,persuasive,1.0,nostalgic,1.0,blame,2.0
vulgar,1.0,poetic,1.0,of,1.0,hostility,2.0
warning,2.0,positive,3.0,offensive,2.0,comparative,2.0
with,1.0,potentially,1.0,official,1.0,competitive,2.0
,,praiseworthy,1.0,ominous,1.0,complaining,2.0
,,praising,1.0,optimistic,1.0,enthusiastic,2.0
,,probing,1.0,or,2.0,blaming,2.0
,,proverbial,1.0,patriotic,1.0,triumphant,2.0
,,provocative,11.0,pessimistic,3.0,cynical,2.0
,,punitive,1.0,playful,1.0,discriminatory,2.0
,,questioning,12.0,positive,11.0,hint,2.0
,,reactive,1.0,protective,2.0,suspicion,2.0
,,reflective,3.0,provocative,4.0,narrative,2.0
,,repetitive,1.0,punitive,4.0,displeasure,2.0
,,reproachful,1.0,questioning,2.0,doubt,2.0
,,respectful,1.0,reciprocal,1.0,mild,2.0
,,rude,5.0,rejection,1.0,irritation,2.0
,,sarcastic,7.0,relaxed,1.0,light-hearted,2.0
,,serious,1.0,requesting,1.0,appreciative,2.0
,,skeptical,1.0,resentful,2.0,patronizing,2.0
,,slang,2.0,resigned,2.0,irritated,2.0
,,slant,1.0,respectful,1.0,nostalgic,2.0
,,slightly,12.0,retaliatory,1.0,slang,2.0
,,somewhat,2.0,rude,2.0,respectful,2.0
,,speculative,1.0,sarcastic,5.0,alarming,2.0
,,straightforward,1.0,serious,4.0,of,2.0
,,strong,1.0,sexist,2.0,playful,2.0
,,subjective,3.0,sexual,1.0,sexist,2.0
,,suggestive,2.0,skeptical,8.0,strong,2.0
,,taunting,2.0,skepticism,1.0,charged,2.0
,,threatening,9.0,slightly,6.0,boastful,1.0
,,undertones,1.0,strict,1.0,towards,1.0
,,urgent,2.0,strong,1.0,disrespect,1.0
,,violent,5.0,suggestive,1.0,disillusionment,1.0
,,warning,2.0,suspicion,2.0,calm,1.0
,,with,4.0,suspicious,3.0,criticism,1.0
,,,,sympathetic,1.0,vengeful,1.0
,,,,threatening,13.0,urgency,1.0
,,,,towards,1.0,disciplinary,1.0
,,,,triumphant,2.0,celebratory,1.0
,,,,uncertain,1.0,confused,1.0
,,,,urgency,1.0,defiant,1.0
,,,,urgent,4.0,defeatist,1.0
,,,,vengeful,1.0,bias,1.0
,,,,violent,1.0,betrayal,1.0
,,,,warning,2.0,uncertain,1.0
,,,,with,2.0,defeated,1.0
,,,,worried,1.0,reciprocal,1.0
,,,,,,distrust,1.0
,,,,,,official,1.0
,,,,,,manipulative,1.0
,,,,,,menacing,1.0
,,,,,,skepticism,1.0
,,,,,,mixed,1.0
,,,,,,sexual,1.0
,,,,,,motivating,1.0
,,,,,,ominous,1.0
,,,,,,longing,1.0
,,,,,,optimistic,1.0
,,,,,,retaliatory,1.0
,,,,,,patriotic,1.0
,,,,,,requesting,1.0
,,,,,,relaxed,1.0
,,,,,,behavior,1.0
,,,,,,malicious,1.0
,,,,,,strict,1.0
,,,,,,distrustful,1.0
,,,,,,generous,1.0
,,,,,,sympathetic,1.0
,,,,,,dominant,1.0
,,,,,,excited,1.0
,,,,,,exclusionary,1.0
,,,,,,friendly,1.0
,,,,,,rejection,1.0
,,,,,,hopeful,1.0
,,,,,,ironic,1.0
,,,,,,impatience,1.0
,,,,,,indifferent,1.0
,,,,,,indignation,1.0
,,,,,,insensitive,1.0
,,,,,,instructional,1.0
,,,,,,intimidation,1.0
,,,,,,belittling,1.0
,,,,,,discriminative,1.0
,,,,,,bad,1.0
,,,,,,confronting,1.0
,,,,,,vulgar,1.0
,,,,,,admiring,1.0
,,,,,,adversarial,1.0
,,,,,,antagonistic,1.0
,,,,,,bullying,1.0
,,,,,,castigatory,1.0
,,,,,,connotation,1.0
,,,,,,stern,1.0
,,,,,,contemplative,1.0
,,,,,,"derogatory,",1.0
,,,,,,divisive,1.0
,,,,,,elements,1.0
,,,,,,emotionally,1.0
,,,,,,emotive,1.0
,,,,,,thoughtful,1.0
,,,,,,statement,1.0
,,,,,,admiration,1.0
,,,,,,exclamatory,1.0
,,,,,,amused,1.0
,,,,,,"casual,",1.0
,,,,,,commanding/aggressive,1.0
,,,,,,complimentary,1.0
,,,,,,determined,1.0
,,,,,,disturbing,1.0
,,,,,,impolite,1.0
,,,,,,spiteful,1.0
,,,,,,matter-of-fact,1.0
,,,,,,"negative,",1.0
,,,,,,preaching,1.0
,,,,,,reprimanding,1.0
,,,,,,sarcasm,1.0
,,,,,,self-deprecating,1.0
,,,,,,emphatic,1.0
,,,,,,explicit,1.0
,,,,,,factual,1.0
,,,,,,reactive,1.0
,,,,,,poetic,1.0
,,,,,,potentially,1.0
,,,,,,praiseworthy,1.0
,,,,,,praising,1.0
,,,,,,probing,1.0
,,,,,,proverbial,1.0
,,,,,,repetitive,1.0
,,,,,,familiar,1.0
,,,,,,reproachful,1.0
,,,,,,slant,1.0
,,,,,,speculative,1.0
,,,,,,straightforward,1.0
,,,,,,undertones,1.0
,,,,,,accusation,1.0
,,,,,,persuasive,1.0
,,,,,,"personal,",1.0
,,,,,,passive-aggressive,1.0
,,,,,,moralistic,1.0
,,,,,,"metaphorical,",1.0
,,,,,,judgemental,1.0
,,,,,,investigative,1.0
,,,,,,intense,1.0
,,,,,,insistent,1.0
,,,,,,"informative,",1.0
,,,,,,informational,1.0
,,,,,,"informal,",1.0
,,,,,,inciting,1.0
,,,,,,implicative,1.0
,,,,,,hurtful,1.0
,,,,,,harmful,1.0
,,,,,,generalizing,1.0
,,,,,,worried,1.0
