uniq sequences,number appears
羞耻,2
自我感觉过于良好的女性,2
小三,1
不违法,1
一夫多妻,1
没有价值,1
娶你分家产,1
体重两百斤,1
极权,1
裁掉,1
破吧,1
跪下,1
哑巴,1
家暴,2
挂,1
基情,1
唯唯诺诺,1
无底线,3
愚蠢,1
错,2
自视甚高,1
恋童癖,1
懒惰,1
唯一运动,1
真好意思,1
没有素质、性少数、砸,1
猩猩,1
偏见,5
不可能,1
跟黑人谈过,1
处女都不行,1
黑人的长相不符合审美,1
随意发表言论攻击人,1
吃相很难看,1
白眼狼,1
吃里扒外,1
绿茶,1
直男癌,1
乱贴标签,1
厉害,1
影响,1
缺乏信服力,1
整掉,1
监管,1
无主之地,1
怂,1
没人看得上,1
不懂,1
崇洋族,3
黑猩猩式,1
溃乏,1
自私,2
肤色较深,1
较为困难,1
黑人土豪,1
将就一下,1
丢尽,1
无脑,1
崇拜,3
肤色偏黑,1
匪夷所思,2
怀疑自己,1
毛病,3
不认可,1
不好意思,1
恐惧,1
艾滋病,1
基本没有了,1
绝大多数,1
黑人 (black people),2
反对三非,1
负面情绪,7
一片净土,1
黑界,1
喷系,1
滚刀词汇,1
仇视男性,1
魔怔教徒,1
战斗力,1
攻击值,1
被判,1
奇怪,5
绿了老公,1
扔了孩子,1
高尚倒贴,1
灌多了迷魂汤,1
道德绑架,2
苦逼中国男人,1
不好看,3
批评,4
非我中华民族,1
异类,1
畏威不畏德,1
南方人,1
真的是不会好好说话,1
随时随地张口,1
下定义,1
女性凝视和偏见,1
真下头,1
纯种,2
混血,2
把,1
智商,3
异性恋者,1
骂人,1
受压迫者,1
断子,1
作威作福,1
欺负人的乐趣,1
绑架,1
讨厌,8
太爽了,1
女性,4
感到不适,3
炸鱼,1
伪,1
侵略,1
精神控制,2
不让女的占便宜,1
完胜,1
性别焦虑问题,1
辍学,1
没有人性,1
损害他人利益,1
吸血,1
狂热,2
信徒,1
打压,1
沦为,1
单方面,2
更好为她们服务,1
极度,3
没那么讨人喜欢,1
种族歧视,1
行为不端,2
便宜的性工作者,1
叨叨叨,1
破事,1
怨妇,1
烦死了,1
自欺欺人,1
同性恋者还能讲话吗,1
用词精准,1
后宫,1
报应,1
不太健康,1
想害,1
黑人混血儿,2
无法理解,2
惨,3
不值得我同情,1
打起来,1
打击,2
极度强调女权,1
善类,1
绞尽脑汁,1
仇恨,1
辱骂,1
无法和女性有接触,1
不明智 (foolish),1
负责 (responsible),1
普信男,2
反红,1
喷过,1
扬州三屠,1
南京大屠杀,1
我们本应如此,1
不适反感,1
不喜欢同性恋,1
喷,1
苟延残喘,1
抹黑,1
不遗余力,1
忽悠,1
****,1
女孩子,1
巴基斯坦人,1
伤害,3
脏话,1
呆比,1
打伤,1
健康问题,4
言论,2
没有必要,1
没人会喜欢,1
玩腻了,1
离婚,1
不感冒,1
治,1
臭,1
没有尊严,1
不太明智,1
引战,2
被骂,1
违法乱纪,1
骗炮,1
骗钱,1
不靠谱,1
造成影响,3
,1
怕,3
非要找,1
不符合我个人审美,1
又穷,1
老子,4
血包,1
说啥干啥,1
付出代价 极端 女权主义者 成事不足 败事有余 失败者,1
见怪不怪,1
回去非洲,1
接触,1
玩腻,1
玩,1
反面派,1
不自信,1
不值得同情,4
散了吧,1
不用理,1
力工,1
不可靠,1
看不上,3
素质有待提升,1
复读,1
被害妄想症,1
失败,6
排斥,2
偏概全,1
落后的思维方式,1
八卦,1
落后的思维方式导致的行为方式,1
不配,4
死,3
揭穿,1
多事,1
骗个精光,1
惹得一身麻烦,1
爆,1
不检点,3
挑拨,3
***眼,1
好笑,2
行为不检点,5
没人要,1
不挑人,1
罪证,1
不太注重,1
思想不正确,1
小黑屋,1
封你,1
删你,1
居心叵测,2
妖,1
集中营,1
骗,6
赚男人的钱,1
不是人人都正常,1
毁,1
潜在的问题,1
网恋游戏,1
搞网恋,1
不够明智,3
价值观偏了,1
吉哈德,1
撕打,1
没什么,1
强调,1
不值,1
亲生父母,1
拿什么挣钱,1
坑,1
不明智的,2
淘汰,2
劣等,1
背叛,1
迷惑,1
黑人面相相似,1
审美标准与其他人种不同,1
底层,2
当猪宰,1
没有脑子,1
苦口婆心,1
旁观者,1
躺平,2
祸害,2
撕裂,1
忠实追随者,1
有意带的节奏,1
睁大你的眼,1
好好看看,1
文化分歧比北方大,1
neger,1
老挠弹,1
举报封过,1
低下,1
男权主义,1
不行,2
卖蠢,1
苦难,1
卑微 渣男 反感 代价,1
上床,1
尺寸,1
妄想,1
可惜,1
沦为笑话,1
走出去外娶,1
差异,1
欲望,1
黒人,1
名声不太好,1
同性恋者,2
觉得不舒服,1
跑国外去了,1
非洲服务黑人,1
整个容改个名,1
负面影响,1
少见,1
贼多,1
搞不懂,2
满脑子,1
嫁不出去,1
装乖乖女,1
不符合传统观念,1
放鸽子,1
不知羞耻,1
不务正业,1
小丑,1
发癫,1
复仇情节,1
饮鸩止渴,1
打破,2
严格管控,1
神话泡沫,1
自我矮化,1
敌人,1
背后捅刀,1
致命,1
不会得到好结果,2
此种人,1
接受不了 黑人女性,1
脑袋出问题,1
装可怜,1
洗地,1
黑人 不来 好黑人,1
感觉过于良好,1
所有的男人都没一个好东西,1
倒贴黑人,2
藏污纳垢,1
极度不适,1
小黑孩,1
麻了,1
洗白,1
排,1
掰弯,3
违法犯罪,1
要彩礼,1
要车要房,1
不愿生孩子,1
生孩子警告,1
争冠性权,1
劳资不会改择偶观,1
不找,1
玩人与兽,1
性工作者,3
打断他的腿,1
***,1
男男违法,1
真的以为自己长那样,1
烦人,1
懒得,2
强烈的,1
搞得鬼,1
不够聪明,1
怪,2
没有用,1
毁掉,1
不值一提,1
不正常,2
gay,1
操,1
无法辩护,1
违反法规,1
自卑，没有自信，有艾，不能见人，男同性恋，蒙面,1
抠脚汉,1
油腻,1
荷尔蒙气息,1
努力浪,1
老实巴交,1
怕艾滋,1
私生活很乱,1
反正不会娶,1
睡过黑人,1
算了吧,1
那都有草吃,1
白嫖,1
没社会贡献,1
下头,1
头皮发麻 害怕 不舒服,1
盲目,2
多,1
不良,2
恼羞成怒,1
抱团取暖,1
别的本事,1
魔术,1
魔法,1
超级排斥,1
感觉不适,1
国内女性受限于生理条件,1
啥玩意儿,1
喝酒抽烟出轨,1
乱搞男女关系,1
不可能改变,2
政治不正确,1
极限运动,1
命都没了,1
不敢,1
动手,1
男权主义者,1
伤害 因果报应,1
病,1
我靠,1
黑人的图片,1
烂,1
出卖,1
估计,2
黑河南,2
黑北方,1
打,2
没通过,1
品格低下,1
普信女,1
被黑,1
惨烈,1
落个好名声,1
没有良好的审美,1
反同人士,1
秃头油腻大叔,1
作妖,1
整不出来,1
无价值,1
胡话,1
没毛病,2
50w,1
游手好闲,1
性冲动,1
它们,1
黑人离开,1
必须付出一定代价,1
不好,1
不怕,1
外娶,1
不会说,1
大男子主义,1
不会支持,1
更别说,1
你这个,1
病菌,1
感染,1
病毒,1
打架 扇嘴巴 舔 感到不适,1
倒贴,4
黑人的女性,1
不适应,1
不好的,2
添堵,1
男同性恋拉黑,1
女性化,2
令我反感,1
饭桶,1
哗众取宠,2
对骂,1
负面评价,1
断粮,1
接盘,3
思想单一,1
混了白人的血,1
低素质,1
种族,1
基,1
雷百合,1
太双标了,1
对立,1
坐牢,1
怼,1
令我不满,1
不明智、这种人,1
格外关照,1
那姨母般的笑容,1
不符,2
反击,1
太,1
没有希望,1
规训,1
工具,1
二土,1
吸过毒,1
异于常人,1
体重较重,2
鄙视,2
整臭,1
交易,1
买卖,1
明码标价,1
买到手,1
该承受,1
谁叫,1
砸,1
喂不熟,1
情绪化,1
不能惹,1
猖獗,1
卷,1
极其崇拜,1
讨好外国人,1
所谓,1
断章取义,1
人神共愤,1
癖,1
逆袭,1
排外,1
搞,2
混血运动员,1
智力有问题,1
如临大敌,1
坐立不安,1
所谓的,1
心虚,2
反对,3
争论,2
迫害,1
浑水,1
黑人北鼻,1
性别言论,1
乱说话,1
不用搭理,1
巨大的代价,1
杀鸡儆猴,1
后果,1
我认为黑人女性一般都是比较开放的,1
骚扰,2
脑子不太聪明,1
嫖娼,1
深柜,2
只求,1
不随意,1
自然选择,1
智力水平,1
人尽皆知,1
不是人,1
对不起,1
嫉妒,1
笑大牙,1
不收敛,1
没打算,1
清醒过来,1
不成熟,1
无辜,1
磕碜,1
不接女乘客,1
无底线包容,2
品行不好,1
严惩不贷,1
发明,1
搞笑,1
割裂,1
嘲笑,2
噴無用的話,1
得付出代价,1
难,1
辨别,1
破事儿,1
切了,2
生态杀手,1
偏偏,1
属于,1
诬陷,2
远离,1
迷之自信 让我反感 为了利益 协助犹太人 忠实的人,1
弱者表演,1
无声贡献,1
讽刺,1
不孝,1
害怕,2
反应好大,1
矫情,1
正常人,1
国内男性,1
帮凶,1
反智,1
极度强调,1
见不得,1
恶意,1
揣测,1
黑人的历史,1
不实言论,1
离谱,1
反感、黑人、不嫖、不给钱,1
令人厌恶的女性,1
带坏,1
驴,1
欺诈,1
彩礼钱,1
让人反感,1
把环境都搞臭了,1
笑死我了,1
还不如,1
感情经历,1
贪心,1
不懂得感激,1
恶性,1
素质不高,1
便宜,1
脾气巨大,1
公主,1
东西,1
咋了,1
吐了,1
炸了,2
拿出,1
刀,1
暴,1
单方面付出的追随者,1
不喜欢的,2
装成女的,1
精虫里没一点脑子,1
算人,1
杞人忧天,1
讨好崇拜黑种人,1
媚外,1
极端性别平等,1
黑人的问题,1
不是处女,1
接受不了,1
以前有什么族的男朋友,1
不切实际,1
幻想,1
臆想症,1
很不顾羞耻,1
很难搞,1
让人不适,1
恶意攻击,1
酋长,1
惹人记恨,1
嘴硬,1
小胆,1
精神胜利,1
不屑,1
羞辱,1
愤怒,1
受不了,2
过于感觉良好,1
疯狂,2
不良影响,1
吹牛逼,1
法西斯,1
fxs,1
下策,1
囧,1
打草惊蛇,1
隐藏,1
意想不到,1
狗,1
嫌,1
乞讨,1
区别,1
毫无公信力,1
争议,1
大战,1
东北人,1
黑人接触过,1
乱讲 黑人 原始社会,1
产生不适,1
导致艾资,1
失败的,1
反感的,1
能干得出来,1
丑 活该 变态 骚扰,1
被打傻了,1
口嗨,1
坏的,1
钓鱼,1
不太对,1
碰瓷,1
大爷,1
反对性少数群体,1
别扯那么远,1
出问题,1
容忍,1
不忠,1
渣男 渣女 极端女权主义者 洗涤 骂,1
拜金,1
不尊重,1
军阀割据,1
地域歧视,1
蔑称,1
乱讲话,2
掀,1
干就完了,1
一刀劈死,1
删帖,1
闲人,1
狭隘,1
大冤种,1
生气了,1
更气了,1
能力有所欠缺,1
破坏民族团结,1
搞国家分裂,1
失足妇女,1
脏,1
驱除,1
不是个好人,1
没人性,1
小老头,1
渣渣,1
教养,1
不太合适,1
低人一等,1
落后,1
没见过世面,1
虾爬子,1
二极管,1
作恶,1
利益,1
不舒服的,1
奈何,1
黑人数量越来越多,1
生殖器小,1
不是直男,1
异于,2
玩意儿,1
不灭,1
太平,1
极极个例,1
墙头草,1
两面倒,1
贪婪,1
胆小,1
来路不明,1
愚昧,2
奇人,1
黑人族,1
惯,1
受不了了,1
发表言论啥都不会,1
不安生,1
砂男婴,1
往死里压,1
逼乎,1
姓逼,1
pua,1
太不符合,1
作风,1
急了,1
明智不到哪里去,1
假的,2
乱说,1
缺乏知识,1
扼杀,1
扯谈,1
强力管制,1
特烦,1
管天管地,1
批判,1
不是特别好,1
反外,1
反白,1
崇拜洋人,1
恐怖,1
绝不可以,1
造谣,1
立牌坊,1
演无底线包容他人的人,1
无条件纵容他人的女性,1
复读机,1
发生争论,1
骂，胆怯,1
暴躁,1
出狱,1
小二,1
太强,1
并无太大区别,1
交往,1
崽,1
后代,1
档案,1
监狱,1
案底,1
无关,1
破口大骂,1
装理客中,1
高人一等,1
高攀,1
憋屈,1
麻,1
负面的情绪,1
年幼无知,1
弓澢真负真实嘴脸,1
忠实帮手,1
崇拜外国人,1
身材矮小,1
不接触外国人,1
脊椎,1
脑子,1
不怕一万就怕万一,1
后怕,1
生死,1
清醒,1
放过,1
算什么,1
冒充,1
毁了,1
看透,1
也不是,1
容不下,1
保守主义社会,1
hentai play,1
灭绝,1
错过,1
责任,1
呗,1
令人不喜欢,1
男同性恋者,1
阴险,1
艾滋,2
滥交,1
吸毒,1
贩毒,1
非死即伤,1
心理不成熟,1
惯出来,1
困扰,1
恋性病癖,1
恋艾滋病癖,1
讨好黑人的行为,1
整些有的没得,1
让我感到不舒服,1
膈应,1
你们这类人,1
争论输了,1
生活不如意,1
警告,1
扯,1
可恨,1
糟粕,1
極端女權主義者,1
不讲,1
不負責任,1
不国际化,1
搞的,1
让别人死,1
又不明智又坏,1
不防,1
容易死,1
感染艾滋病,1
行行行,1
女的都是爱八卦,1
男的从不八卦,1
立刻付出代价,1
没有男子气概,1
仇视,1
崇媚洋外,1
高材生,1
无缘无故,1
典中典,1
蛮邦,1
家奴,1
没饭吃,1
上梁不正下梁歪,1
遗毒,1
不如,1
不佳,1
拉下水,1
反感黑人的,1
助邹为虐,1
操作容易,1
顺着她说,1
那些找黑人的女人,1
智商水平,1
社会责任感,1
价值观,1
哺育正常的后代,1
喷吧,1
反动,1
极端男权主义者,1
无差别攻击,1
女权主义,1
犯罪豁免权,1
二等男人,1
叽叽歪歪,1
公平,1
丢脸,1
同流合污,1
最让人扫兴,1
孤独,1
寂寞,1
普通,1
尬黑,1
好看的,1
全是,1
令人反感,1
白打水漂,1
只有异性恋,1
自大,1
直男,2
非处,1
枪往自己人身上打,1
黑人的,1
差别,1
黒人智商不行,1
抖音,1
没了,1
不成气候,1
加入组织,1
闭嘴,1
咬我,1
国内有些女的,1
被讨好到天上去了,1
闲得慌戏精,1
鸡疯子,1
农批,1
n待,1
不太注重个人卫生,1
不嫌弃,1
反感、不值得、同情,1
不要彩礼,1
超级让我感到不适,1
极端性别主义者,1
使劲喷,1
无罪,1
行为极端,1
鲨人,1
境外势力,1
被抓,1
违法,1
违反法律规定,1
处理,1
违反法律规定的黑人,1
做违反法律规定的外国人,1
痛苦,1
过于,1
拼不过,1
黑人从来不养,1
跑路,2
强迫,1
猪,1
散播同性恋美西意识风气,1
不会轻判,1
颜值不高,1
奇怪的化妆技术,1
毁皮肤,1
差异较大,1
成天国内女性推土机为荣,1
单亲,1
黑人小孩,1
被人说的,1
被人疏远的,1
这辈子是没了,1
艰难,1
应该,1
甩了,1
负担,1
无药可救无可救药,1
负能量,1
体重较重的,1
不太好,1
極端,1
討厭,1
反外国人,1
过于良好,1
丑,1
穷,1
外国,1
依赖,1
大言不惭,1
他乡,1
堕落,1
虚伪,1
道德漏洞,1
猪槽,1
踢人出群,1
某些 自我感觉过于良好的,1
侵犯,1
跑路致残,1
死缠烂打,1
懦弱,1
玻璃心,1
赶紧去非洲,1
别留在国内,1
感到不舒服,1
不允许告诉,1
也不知道保护了他们,1
正常的普通人是得罪谁了,1
占便宜,1
消灭,1
瞎说,1
狂热信徒,1
最狠,1
不像智人发言,1
极品,1
打我的脸,1
取悦他人,1
男装,1
擦掉,1
卖钱,1
性别福利,1
皮条,1
黑人的客,1
自嗨,1
优越,1
高潮,1
不接受反驳,1
侮辱,1
白给,1
搞怀孕,1
不负责,1
编造,1
漏洞百出,1
太可怕,1
印度人,1
ntr,1
爆菊,1
背叛感情,1
右翼分子,1
行为恶劣,1
喜闻乐见,1
神经病,1
极左,1
粉红,1
感觉少,1
奴隶,1
踢,1
偏激,1
乱讲,1
黑人的后代,1
战斗,1
好男不和女斗,1
卑微讨好,1
無感,1
不爭氣,1
勾引,1
不比,1
砍刀,1
挥向,1
整,1
猖狂,1
颠覆,1
棒失败者当宝贝,1
拆散,1
行为异常,1
性感,1
暴露,1
不是好女性,1
