Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Keyword Vector,K_means_cluster
Коли ти дуже жостко підйобуєш Настю,High,Aggressive,Insulting and Demeaning,Hostile,"(1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Дуже хочу написати щось дуже розумне  але хуй його знає що...,Medium,Casual/Informal,Mildly Offensive,Frustration,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
Ну чьо Михасику не отримаєш ти того що ти блядь хочеш...,High,Aggressive,Vulgar and Insulting,Hostile,"(1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1
- Ти бухаєш водяру і забиваєш на все болт!,High,Accusatory,Insulting and Demeaning,Contemptuous,"(1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Він потім думає, ну і в пизду не дуже то і хотілось їсти.",High,Disrespectful,Vulgar and Offensive,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Українська термінологія - це піздєц.,High,Disrespectful,Vulgar and Offensive,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"І бля, їхала сюди - то мала роботу.",Low,Casual,Informal,Frustrated,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Хочу постити депресивну хуйню в інст, але там забагато знайомих",Medium,Negative,Informal and Vulgar,Discontent,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
не лишайте пухнастих мудаків наодинці зі шкарпетками,High,Commanding,Derogatory and Insulting,Contemptuous,"(1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"ДаЗнав одну, їбанутішої людини не бачив",Medium,Critical,Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Чоловіки, хлопці - яйця, блять, в руки і до Києва!",High,Aggressive,Vulgar and Offensive,Contemptuous,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно",High,Disrespectful,Vulgar and Offensive,Aggressive,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Воно нас, блядь, ні до чого не готувало.",High,Aggressive,Offensive and Vulgar,Angry,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
"Люди кажуть, що всім похуй на них.",Medium,Disrespectful,Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Очікуєш на щось гідне, а в результаті отримуєш типову хуйню",Medium,Disappointed,Casual,Frustration,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
а нє поставіть-ка мнє хуй на аву і зіпсувати собі репутацію?,High,Aggressive,Profane and Offensive,Hostile,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1
"Дякую за зауваження)Пиздити мене треба, щоб менше пизділа!",High,Aggressive,Vulgar and Insulting,Hostile,"(1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1
Йди на хуй під силу,High,Aggressive,Vulgar and Insulting,Hostile,"(1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1
"ця безвітсоткова позика це водіння немитим хуєм по губам всіх, без виключення українців. ось що бісить блять у тому числі.",High,Aggressive,Vulgar and Offensive,Angry,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
"Ох ти ж блін, я й не бачила, шо вже так пізно.",Low,Exclamatory,Casual,Surprise,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Лєна, краще мене кашею годуй, ніж піздюка.",Medium,Aggressive,Derogatory and Insulting,Contemptuous,"(1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
бляяя точно) і поміняти прізвище вконтактику,Low,Casual,Informal,Neutral,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Вкотре переконуюсь, шо я думаю піздою, а не мозком, блять",High,Aggressive,Vulgar and disrespectful,Contemptuous,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Зараз,бляха-муха,закурю....грьобаний футбол,тримай себе в руках,Міла!",Medium,Aggressive,Vulgar and Dismissive,Frustration and Disrespectful,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Яка ж я зла, блять.",Medium,Frustrated,Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
та тоді якийсь пиздец бувв мене рідко губи тріскають,High,Vulgar and aggressive,Profane and offensive,Negative and hostile,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
"Чемпіоном він хоче бути, ага, бля.",High,Aggressive,Vulgar,Contemptuous,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
А всюди йобаний натовп з йобаними руками.,High,Aggressive,Vulgar and Offensive,Negative,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Хтіли поставіть падножку Порошєнка, а вийшло дати в жопу тіко.",High,Aggressive,Derogatory and Violent,Hateful,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Мені дохуя французької, а єбав, бо усний:з",Medium,Informal,Vulgar and Offensive,Frustration/Disdain,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"бляха, я не можу змусити себе вчитися!",Low,Frustrated,Informal,Frustration,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Блядь та ну ви знущаєтесь?,High,Aggressive,Vulgar and disrespectful,Hostile,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Мандєц блядьЧо ж так смєшно з цього?,Medium,Aggressive,Vulgar and Offensive,Negative,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Та нахуй ти мені впав, скотина ти така)))",High,Insulting,Vulgar and Offensive,Contemptuous,"(1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Дивлюсь на відповіді голосувань і бля, who the fuck так погано мене знає?",High,Aggressive,Vulgar and disrespectful,Frustration,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"та блять, нема зворотніх плацкартів на коли мені треба в обозрімом будущєм",Medium,Frustrated,Casual and Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Ну нахуй, мудаки і є мудаки",High,Aggressive,Insulting and Offensive,Contemptuous,"(1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
"Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.",Low,Informative,Direct and Matter-of-fact,Neutral,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Той хуй в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого",High,Abrasive,Aggressive and Insulting,Defensive and Dismissive,"(1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",1
"Господи йоб твою мать, вирубіть уже літо нахуй.",High,Angry,Vulgar and Offensive,Frustrated,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
"бля, ти пам''ятаєш, шо мені було потім?) я мацала так пити)'",Medium,Casual,Informal,Frustration,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
Схуялі ти пишеш твіти з моєю картинкою?,High,Aggressive,Vulgar and Offensive,Angry,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
"Перед тим, як щось затвітити, запитай у себе: 'А може всім похую на то?', і пам'ятай, що відповідь завжди 'Так'.",Low,Instructive,Assertive,Neutral,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"гавно вапрос, від кого передати?)",High,Disrespectful,Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Кидає фотку в платті і каже - диви яка в мене тут жопа!,Medium,Casual,Informal and Vulgar,Disrespectful,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0
завжди роблю хуйовий а їй нра,High,Insensitive,Vulgar and Offensive,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Рубрика Всім похуй на ті всраті діалоги:Итс соу світ вен після п''янки всі звітують, що дома.",Medium,Casual,Informal and vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0
Коли пацан - пиздець як відразливо.,Medium,Negative,Vulgar and Aggressive,Disdainful,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Підйом, курво, Arbeit macht frei",High,Aggressive and Offensive,Vulgar and derogatory,Disrespectful and hateful,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
– Я что лох налогі платіть?,Medium,Accusatory,Rude and Offensive,Insulting,"(1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Ну вас нахєр з вашою політикою.,High,Dismissive,Confrontational and Insulting,Hostile,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Один хуй хріново добиратись з Наукової до Рясне шо старим 131 шо новим 11 #lviv #піздєц,High,Insulting,Vulgar and offensive,Negative,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Один раз побув долбайобом і на все життя ним залишився.,High,Disrespectful,Insulting and Demeaning,Negative,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"словом, заїбало то всьо. ви кто такіє? я вас нє звал. ідітє нахуй",High,Aggressive,Insulting,Angry,"(1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",1
"Блін, я sooooo excited, прям жопою в крісі пританцьовую",Low,Excited,Informal and Playful,Positive,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
"А нахуя він, є від нього щось, окрім шкоди?",High,Confrontational,Sarcastic and Insulting,Negative,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
"Ого, а нахуя вони це постять...",Low,Inquisitive,Casual,Curious,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Ахахах бляя, уявив собі це",Medium,Sarcastic,Informal and Profane,Mocking,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",2
блять а шо це справді лякає?) я завжди так роблю,Low,Casual,Informal,Curious,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2
"бля, я тікаю від вас спати.",High,Aggressive,Vulgar,Frustrated,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
