Sentence,Toxicity Level,Tone,Language,Implied Sentiment
老双标狗了,Medium,Critical,Casual,Negative
直男最擅长的不就是双标吗??所以现在很多时候我已经懒得讲道理，看见nt直接骂就好了??,Medium,Critical,Sarcastic and Dismissive,Frustration
easy girl懂？无缘无故扣这个帽子？崇媚洋外中国好像很普遍，某些大学一年十几万几十万请连汉字都不认识多少的“高材生”？国内211随便挑几个会比这种人差？,High,Disdainful,Aggressive and Insensitive,Contemptuous
真要有那个手段和心理素质，也不会沦为非处。而且骗的是自己老公，枪往自己人身上打，也挺有意思的??,Low,Casual,Informal,Amused
可黒鬼智商确实不行啊??,Low,Casual,Informal,Negative
第一代女拳是境外势力资助，微博那会被抓的全是男性，真要令我笑死,Medium,Mocking,Negative and Accusatory,Disdainful
货拉拉司机无罪判一年，小仙女鲨人未遂判四个月,Low,Neutral,Informative,Neutral
不打拳没必要如果是个拳师往4里喷,Low,Casual,Informal,Neutral
我恶心的是有些同性恋以为全世界都是同性恋，无底线的试探自己喜欢的同性，超级恶心！,High,Disgust,Derogatory and Offensive,Offensive
他们找黑人媳妇纯属是觉得不要彩礼还能干，女性是奔着感情去的，大傻子??,High,Derogatory and Dismissive,Discriminatory and Insensitive,Contemptuous
女拳***,High,Aggressive,Sexist and Offensive,Derogatory
真是搞不懂这种人怎么就那么想当默的配种母狗，活该,High,Disdainful,Derogatory and Insulting,Negative
姆蛆好恶心?,Medium,Mocking,Casual,Disgust
确实如此 宁要小姐从良，不要媚外ez,Low,Neutral,Formal,Neutral
恐怕从这个尼从出生到现在都没洗过头吧！太恶心人了！光看到就反胃！这女的居然不嫌弃，看来是真爱了,High,Disgusted,Insulting and Derogatory,Contemptuous
从小这个基佬就N待小动物，果然是变太,Medium,Disrespectful,Casual and derogatory,Mocking
长得和个老鼠似的,Low,Comparative,Casual,Neutral
和平精英的网络公主也没这么女拳啊，鸡疯子还是比农批高一等级的,Medium,Disparaging,Casual and Insulting,Negative
一般闲得蛋疼的大概率是猪精,Medium,Casual,Slang,Dismissive
舔黑的人在增多，舔狗也在增多，国内有些女的快被舔到天上去了,Medium,Casual,Informal,Negative
舔狗给她整自信了,Medium,Casual,Informal and Objectifying,Patronizing
我都要吐了真的很会玩,Low,Casual,Informal,Neutral
黑命贵祸害原住民是事实,High,Accusatory,Derogatory and Offensive,Racist
黑奴才们骂我是键盘侠的不就打算让我闭嘴吗？告诉你，老子就是键盘侠，就拿键盘恶心你了，怎么着吧，咬我啊,High,Aggressive and Confrontational,Derogatory and Insulting,Defensive and Provocative
小仙女得从小培养,Low,Encouraging,Neutral,Positive
之前的反默老哥都转抖音了吗？半年没来一个都没了，吧不成气候，组织在哪里，我要加入组织。,Low,Casual Inquiry,Casual and Informal,Curious
找乌克兰的还好理解，找黑的真想不到在别人眼里他的下一代和国女生的黑孩没啥差别吗？????,Medium,Surprised,Casual,Critical
行行行，女的都是八婆，男的从不八卦，男的看娱乐新闻都会立刻去世，不死就是没有男子气概??普信男值得骄傲，值得赞扬，您满意了吗??,High,Disparaging,Negative and Derogatory,Contemptuous
这玩意不是男同nt搞出来的吗,Low,Casual,Informal,Neutral
这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,Low,Neutral,Informative,Neutral
老外付1％的责任，锅女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是锅女帮他们买机票，办签证,Low,Factual,Informative,Neutral
对对对，都是小仙女，小仙女没有错，都是中国男人的错，中国男人应该灭绝！,High,Aggressive and Blaming,Derogatory and Offensive,Hateful
反变态吧吧名简洁明了，一看就懂,Low,Informative,Neutral,Neutral
那些亩狗，纯纯畜生，这个词作为PUA男性的东西，解释权只能在小仙女手上。,High,Derogatory,Insulting and Demeaning,Contemptuous
不用谢，我也是为了自己利益着想w一是多一对幸福的基佬就少两个同妻，二是容不下LGBTQ的保守主义社会同样容不下hentai play。作为一个绅士魔法师，我觉得我的逻辑是完美自恰的ww,High,Mocking and Superior,Derogatory and Prejudiced,Arrogant
疑罪从无就是狗屁,High,Disrespectful,Vulgar,Contemptuous
你那个性别要不要先改一下??女拳不都喜欢冒充男的说话吗??,High,Sarcastic,Derogatory and Insulting,Contemptuous
"都是原干的,女拳跟原比起来算什么",Low,Casual,Informative,Neutral
请各位新来的反同同志注意！,Low,Neutral,Informative,Neutral
微博的小仙女都在说求你们男性都清醒，放过我们吧。,Low,Concerned,Requesting and Pleading,Worried
想想都后怕，幸亏当年放弃去飞州发展，没有迈出意识层，了解黑蛆事关生死！,Medium,Anxious,Informative,Fearful
把这帮孝子贤孙冲爆,High,Aggressive,Confrontational and derogatory,Hostile
成天带妹的舔狗能不能死啊,High,Aggressive,Insulting and Derogatory,Hateful
这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个仙女....,Medium,Skeptical,Casual and Slightly Dismissive,Cynical
你说对了，我就是歧视黑皮啊??,High,Defensive,Discriminatory and derogatory,Racist
??来啦，吃香蕉，小矮子,Low,Playful,Informal,Teasing
万一他就是黑黑了,Low,Neutral,Informal,Uncertain
同意楼主的说法要像当年五四青年组织起来向大众发传单同时让越来越多人们如今弓澢真负真实嘴脸他们不过犹太人爪牙和虫类的亲儿子,High,Derogatory,Aggressive and Offensive,Prejudiced
见过不少男同就是这样理论的支持者，实际上在我看来他们其实是最自私的群体。又蠢又坏，他们除了可以骗女人和年幼无知的小孩，没人信他们。,High,Derogatory,Critical and Insulting,Contemptuous
和黑人结婚生的杂种都应该灭杀掉,High,Hateful,Racist and Violent,Malicious
我做不了吧主。坚定反黑。,Low,Assertive,Direct and Firm,Resolute
狗带风向是一回事，女性群体中一部分跟狗走那是另一回事??你觉得呢,Low,Casual,Informal and Conversational,Neutral
是不是吧里这些nt贴都是阿娜发的？,Low,Inquisitive,Casual,Curious
民主党搞的和平演变路线，说白了就是葵花宝典。现在美国国内也是一堆女权主义、黑命贵的政治正确。把自己切了让别人死。典型的又蠢又坏。但是你不防还真不行。不防真容易死。,High,Critical,Aggressive and Dismissive,Hostile
幕刃应该把他自己和女性割裂开,Low,Neutral,Factual,Neutral
中国男性就是被五千年的文化糟粕绊住了手脚。你看女拳一点儿传统不讲。凭啥男人还要跟她们讲传统？负责任？养家？彩礼？不，这一点儿都不国际化。??,High,Critical,Stereotyping and Dismissive,Negative
不在中国地盘繁殖混种默，一切都好,Low,Neutral,Informative,Neutral
不就是想制造多点舔狗,Medium,Dismissive,Casual and Slightly Provocative,Negative
舔狗龜男比拳師更可恨,Medium,Comparative,Sarcastic,Disdainful
默默太恶心了，受不了??,High,Disgust,Negative,Repulsion
跟国内外有什么关系?生理上恶心，基因里的东西都能扯到国家??,Medium,Questioning,Sarcastic and Dismissive,Critical
你把舔狗龟男放到这个行列里可还行，自娱自乐真好玩,Low,Casual,Informal,Playful
它和广大女醛全体紫砂估计大伙就能原谅它们了,Low,Forgiving,Positive and Understanding,Forgiving
打拳打输了你就开始生活不如意警告了？古墓派拳师了属于是,Low,Inquisitive,Casual,Neutral
别跟我在这整些有的没得 言论自由 思想自由 你可以是同性恋 我可以觉得同性恋恶心 咱谁也别膈应谁 不用再回我 不想跟你们这类人沟通,High,Dismissive,Confrontational and Insulting,Hostile
毕竟还有恋性病癖，恋艾滋病癖，答主你说对吧，，，这个不是个人自由那么简单了，是这个原因需要批判的媚黑行为。否则那些狗贼把病都留在中国了,High,Accusatory,Critical and Judgmental,Angry
我是女生，我也是这样。但是恐同其实给我造成很大的困扰，因为耽美文学和腐女太多了，到处都能看见，导致我都不想打开社交平台了！,Medium,Frustrated,Emotional and Critical,Distressed
这些巨婴都是惯出来的毛病。,Low,Critical,Assertive,Disapproval
艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,Low,Cautious,Informative and Advising,Caring
原来ln的受众是穆狗啊,High,Insulting,Racist and derogatory,Prejudiced
小丑能出来说一说你的成分吗,Low,Curious,Casual,Neutral
有很多种原因，黑河南、黑北方的都是南满,Low,Neutral,Informative,Neutral
请视说这种人为弱智,Medium,Directive,Formal,Disparaging
开始什么样。最开始的早就被他自己删光了吧好一朵白莲,Low,Neutral,Informative,Neutral
什么义字当头，这是违法的，自由恋爱没毛病，别违法就行，三非黑人该驱逐驱逐，通过合法途径，乃至留学过来和国女结婚都行，别做三非,High,Commanding and Discriminatory,Authoritative and Offensive,Prejudiced
极端仇男癌成员，希望家人们留意！,High,Warning,Aggressive and Offensive,Angry
拼生孩子还真拼不过，国男喜欢养孩子，默从来不养，怀了就跑路，,Medium,Critical,Blaming and Condemning,Judgmental
才不对亢让t们团结鼓励让t们风况捏参考棒子锅,High,Aggressive,Incoherent and offensive,Contemptuous
debuff叠满了，本人西安上学维吾尔族极左普信男粉红爱国蛆??,High,Aggressive,Derogatory and Offensive,Hateful
神经病，连谁删你都不知的质杖还来装，笔,High,Insulting,Aggressive and Offensive,Contemptuous
啊哈哈哈，普信男破防了??，当真是喜闻乐见??,Low,Playful,Casual and Light-hearted,Amused
孽畜，还不快快现形！~,Medium,Aggressive,Derogatory and Insulting,Hostile
我已经累了，也懒得讲道理了，爱咋咋地吧，ez和默关我什么事啊，总有一天中国要整出个右翼分子,Medium,Dismissive,Casual,Negative
结了婚的通讯录在当今社会不出瑰的几乎为零,Low,Informative,Formal,Neutral
爆菊太可怕了，死变态啊??,High,Aggressive,Vulgar and Offensive,Hostile
同性恋应该选中立至少不会出来恶心人，同性恋者选中立做深柜才有可能改邪归正,High,Judgmental and Offensive,Discriminatory and Insensitive,Hateful
她们不是单纯，是真的蠢,Low,Critical,Blunt,Negative
这都不是真女拳，真女拳因为谷爱凌挑战郭女白瘦幼审美观都骂她呢,Low,Informative,Neutral,Neutral
看前面那么多三哥我本来以为这个是个ntr的故事没有看过原著仅看了图片,Low,Neutral,Casual,Curious
太可怕了，永远反黑???,High,Fearful,Emotional and Aggressive,Intense
女拳的智商真是编故事都漏洞百出啊。首先原来黄精灵体力弱不是事情是编造出来的，建议去奥运会证明自己呦。其次黄精灵真的希望每个人都摘50个果子吗？矿场，工地里一大堆果子怎么没见到小仙女去摘呢,Medium,Sarcastic,Critical and Dismissive,Contemptuous
对于默就是有一种无差别的讨厌。。。,Medium,Negative,Critical and Dismissive,Disdainful
还有好多是玩的。把人弄怀孕了，提上裤子就跑路。这种就叫“华垃圾”,High,Dismissive,Derogatory and Insulting,Contemptuous
我怀疑你在侮辱窑姐，即使窑姐接了还挣钱的呢，她们白给甚至倒贴??,High,Accusatory,Aggressive and Disrespectful,Hostile
这个群怎么搞群主啊，要不从新创个贴吧。那些什么奴隶啊，我草草这些东西就踢了就行，把原帖吧的东西保存一下就行,High,Dismissive,Insulting and Condescending,Hostile
基洞恶心不接受反驳,High,Disgusted,Rude and Disrespectful,Hostile
大风起兮云飞扬，安得猛士兮守四方，嘿畜，任何时候都要剿，不剿不行,Low,Poetic,Eloquent and Poetic,Inspiring and Determined
直接举报这个黑比，,Low,Neutral,Direct,Assertive
粿籹凌迟就完事,Low,Casual,Informal,Neutral
自嗨型基佬，嗨出优越，嗨出高潮,Medium,Mocking,Slang,Contemptuous
女拳就属于，每天给它一块钱福利，现在感觉少,Low,Neutral,Casual,Neutral
外表可以。黑真是太丑,Low,Negative,Casual,Critical
所以你认为我所说的那些腐女太偏激了是在瞎bb,Medium,Dismissive,Confrontational and Insulting,Critical
不一定只有男同恶心。有的阴阳人也挺恶心的??,Low,Casual,Informative with a touch of slang,Neutral
猩猩都比黑??好看,Low,Comparative,Neutral,Preference
新群，一起爆杀小仙女啊,High,Aggressive,Violent and threatening,Hateful
她们才是普信女,Low,Neutral,Informative,Positive
那我在网上遇到十个广西人九个是脑瘫怎么说??,High,Derogatory,Insulting and Offensive,Disrespectful
这些女人真恶心，,Medium,Disgust,Negative and Offensive,Contemptuous
女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态,High,Accusatory,Condemning and Manipulative,Malicious
垃圾：黑同，同意的顶。颠覆国人的三观，棒垃圾当宝贝。,High,Dismissive,Confrontational and Insulting,Contemptuous
蓝鸟上骚女和菩萨被开除女籍了,High,Derogatory,Offensive and Demeaning,Negative
现实里女拳没网上猖狂可以了,Low,Neutral,Informative,Neutral
别，黑的血肉我想想都恶心,Low,Disgust,Informal,Uncomfortable
鼠鼠被俺整急了,Low,Casual,Informal,Frustration
夫妻吵架，妻子拿砍刀挥向老公小仙女放话:不过是砍一刀，谁家夫妻不吵架？,Medium,Casual,Aggressive,Defensive
阿三不比黑哥干净多了？??,Medium,Comparative,Casual,Judgmental
女权师疯狂成这个样子她们要刀谁？或许仅仅看着她们每天把自己置之死地的样子，就很美妙呢,Medium,Sarcastic,Provocative,Critical
大批直男被邪恶的基佬勾引失足建议立即将他们绞杀！,High,Aggressive,Aggressive and Violent,Hostile
咱就是南蛮后代,Low,Neutral,Informative,Neutral
第二張圖無感，第一張圖真伞兵，另外男足真是不爭氣,Low,Neutral,Informative,Neutral
就好比小仙女总觉得自己应该被舔、自信的仙女最美丽，自信的男人普信男。总觉得龟男如果不要自己就再也找不到更好的,Medium,Sarcastic,Mocking and Belittling,Derogatory
反正我每次叫它都是华东女贼大学,Low,Casual,Informal,Neutral
男人只会和男拳战斗，好男不和女斗。,Low,Neutral,Informative,Neutral
理智的gay一般都反感直男，因为三观大概率是不合的??,Low,Neutral,Informative,Critical
就算她不拿刀你就能打得过180斤起步的母坦克?,Medium,Sarcastic,Confrontational,Mocking
猪精都是这样的，吃不到性别福利只能走这条路,Medium,Dismissive,Casual,Negative
黑混越来越多,Low,Neutral,Straightforward,Observational
真是虫混和它们祖先虫类真是天生一致直把他乡做故土的寄生虫还大言不惭说它是我过人从这片土地的记忆里就从来没有昆虫纲国际鬼子虫类及其它们后代虫混。,Medium,Accusatory,Complex and Formal,Contemptuous
关键是那么丑那么穷的h人，某些人还跪舔倒贴，这就是人的问题了，我们男的又不是sb！,High,Judgmental and Dismissive,Insulting and Condescending,Contemptuous
小仙女上辈子这么过来的,Low,Neutral,Informal,Neutral
能把这小倪格掐死吗,High,Threatening,Aggressive,Violent
我以為女拳師討厭腐女，原來這兩種屬性是能兼容的,Low,Informative,Neutral,Neutral
体制内的打拳的最多了，优越感很多很强的,Low,Neutral,Informative,Neutral
跑到反同群里面开盒，真的是狗啊,High,Derogatory,Insulting and Offensive,Negative
傻逼双标狗而已,High,Disrespectful,Insulting and Offensive,Derogatory
中国男人家暴了那就是因为xdz把自己的负能量发泄在配偶那??,Medium,Blaming and Accusatory,Critical and Condemning,Negative
无所谓，吃狗肉无所谓，同性恋无所谓，恶心的是，强迫别人吃狗肉，到处宣传同性恋的人,Low,Neutral,Informative,Disapproval
普信男明知道不能送游艇，他们多数人仍会选择在这个周末上网……而不是去好好劳动，真是无药可救无可救药,Medium,Disapproving,Critical and Judgmental,Disdainful
垃圾人口，增加世界负担,High,Derogatory,Negative and Dehumanizing,Negative
黑人都是默默默默默默默默默默默默默默??,High,Mocking,Repetitive and Offensive,Racist
真的，我一大学室友，女生，天天打他男朋友，都打进医院了，我们宿舍都很讨厌她，后来那女的升学了，毅然决然把那男的甩了，恶心,High,Disdainful,Negative and Judgmental,Contemptuous
教课书一样的普信女,Medium,Disparaging,Derogatory,Contemptuous
说的是那些普信的直男，也不算无差别攻击吧,Low,Neutral,Informative,Neutral
捅的好，应该虐杀幕刃,High,Violent,Aggressive,Cruel
单亲，带黑娃，怎么也会被人说的，被人疏远的。就因为这个黑娃，她这辈子是没了，这黑娃还要上她的户口，到时候这黑娃在中国生活也会很艰难的。,Medium,Judgmental,Critical and Condemning,Negative
郭女颜值不高，又不肯去做性价比高的整容，化妆邪术毁皮肤，卸妆如同恐怖片。我是佩服成天郭女推土机为荣的，牙口真好,High,Critical,Insulting and Disparaging,Negative
笑正常人是猪，散播同性恋美西意识不良风气，校方不会轻判,High,Derogatory,Discriminatory and Offensive,Hateful
这种nt发言一度让我怀疑是友军反串,Low,Neutral,Formal,Neutral
喝舍得酒，做普信男，没毛病,Low,Casual,Informal,Neutral
我也是。我及其厌恶黑皮。与其为伍就是自甘堕落????,Medium,Disdainful,Critical,Contemptuous
很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你他妈今天的午饭就是在猪槽里吃了,High,Aggressive,Confrontational and Profane,Contemptuous
说的这么新奇，好了，我宣布，田园女拳有滥交的自由,Medium,Sarcastic,Sarcastic and Offensive,Mocking
姆蛆好不容易才找到的,Low,Neutral,Informative,Positive
搞清因果关系，主要问题还是在幕刃这边，打破她们的外包装现出原形就好了，比如把舔G的女神头发P光光，衣服换成男装，口红脂粉全擦掉，再看她们如何卖钱,High,Derogatory,Sarcastic and Demeaning,Negative
?的这种不像智人发言的极品脑瘫言论，每次都让我怀疑这是友军??，然而现实就是一次又一次地打我的脸?,High,Disrespectful,Insulting and Offensive,Angry
最好不要瞎说，B站的孝子是最狠的，搞不好我们吧又被炸了的。,Medium,Warning,Assertive,Cautious
一口一个普信男，你是微博里的普信女还是烂裤裆,Low,Casual,Informal,Poking Fun
同婚不能减少骗婚，基佬骗婚是因为想要繁衍后代，占两种便宜而已，不是来自社会压力，禁止同性恋繁衍后代就可以消灭骗婚。,Low,Informative,Neutral,Neutral
不专拉外国人皮条的窑姐，人家都不感接黑人的客,Medium,Disparaging,Derogatory and Discriminatory,Prejudiced
她们赶紧去非洲挺好的，是死是活关我什么事，别留在国内恶心中国人。另外，友情提示，婚检发现艾滋，医院有明确要求不允许告诉患者的伴侣和亲属，别问为啥，问就是保护艾滋病人，也不知道保护了他们，正常的普通人是得罪谁了,High,Dismissive,Blaming and Judgmental,Hostile
帅个屁，你这是什么审美，或者阁下也是黑猩猩？,High,Disrespectful,Insulting and Offensive,Derogatory
国铝都有这样光明的未来,Low,Positive,Formal,Hopeful
B站女拳，说着说着自己玻璃心把我拉黑了,Low,Casual,Informal,Neutral
你难道不是？凭什么你的身边就是身边，我的身边就是假的？你怎么证明那些跟小黑交往的女生是我们985的？,Medium,Accusatory,Challenging and Questioning,Defensive and Suspicious
什么硅南，能不能死一死？,Low,Dismissive,Casual,Sarcastic
需要姆蛆引流捏,Low,Neutral,Casual,Neutral
不要当舔狗不要当舔狗，把女人当男人一样对待，男女平等，约她来就来，不来就赶紧再约下一个，什么狗屁持之以恒的追求，那是死缠烂打，幕刃最讨厌死缠烂打了。,High,Contemptuous,Aggressive and Disrespectful,Disdainful
这片恶心的是结尾给女主洗白了，因为小时候被老妈情人侵犯，跑路致残，渴望爱情，所以才诬陷男主，,High,Critical,Blaming and accusatory,Negative
如何评价这个漏屎鸡老,Low,Questioning,Informal and Slang,Curious
连这个是转发贴都看不出来只要有人骂他他就说人家是基佬嘞,Medium,Dismissive,Casual and Slightly Insensitive,Contemptuous
 在反同群不反同，你自己也说过你是双性恋了，所以要为民除害找你很合理。,Medium,Accusatory,Informative with a hint of sarcasm,Critical
建议国男们别在仙女朋友圈里出现,Low,Advisory,Neutral,Neutral
怎么样，人家现在露出猩猩面目了，你往世卫投钱，整天捐款，现在白打水漂了,Medium,Accusatory,Harsh and Mocking,Disdainful
不按照母拳预定的轨迹和套路行事，大概率被母拳成为普信,Low,Neutral,Formal,Neutral
关于默，玩兽j的小仙女岂是郭楠可以高攀的??????,Medium,Dismissive,Sarcastic,Contemptuous
有钱的蛮夷自然惹人记恨,Medium,Negative,Critical,Resentful
说得好听，你们别赶上去倒贴默啊,Medium,Dismissive,Casual,Contemptuous
来康康你的嘿爹,Low,Casual,Informal,Playful
去黑非洲就行，那里有酋长,Low,Neutral,Informative,Neutral
这……确实挺可爱啊，从面相来说就比那些奇形怪状的女拳生物和善多了，而且人家也没什么错吧，恶意攻击不可取，别真和微博一样了,Low,Positive/Complimentary,Respectful and Caring,Supportive
不听老妈实话整容，信路人化妆，幕刃智商可以的,Medium,Critical,Sarcastic,Negative
最后两张肥猪,Low,Neutral,Informative,Neutral
我们南方是除了自己和精神故乡谁都黑，要不你把祖籍报过来小偷还是龙鸣我保证能给你安上一个（不会是弯弯吧，那除外）,Medium,Accusatory,Aggressive,Distrustful
没心气管了，上次歪果人永居我尽力了,Low,Serious,Informal,Resigned
小黑砸很死皮赖脸的，很难搞。老是相同几句不停地回复我。有一个老是拿恶心话回复。我猜想他们认为这样就能赶走我,High,Frustrated,Critical and Dismissive,Negative
杨圣母出来恶心全体男性的时候怎么看不到它站出来,Medium,Accusatory,Critical and Insulting,Contemptuous
其乐无穷，老子高兴，干你鸟事。,High,Aggressive,Vulgar and Offensive,Disrespectful
你是没看见shanheling，那个更恶心,Low,Casual,Informal,Disgust
有趣的事，这些女的都是坚定的女拳??,Low,Playful,Casual,Light-hearted
拿着一张p的图在这里意淫，通讯录是不是都有臆想症。,Medium,Dismissive,Casual and Insulting,Contemptuous
我觉得也不是黑哥的问题，女人结婚时候不是处女我就接受不了，跟他以前有什么族的男朋友没关系。因为我是处男,High,Judgmental and Sexist,Critical and Derogatory,Derogatory
行行行，中国男人媚外世界第一，国女世界第一优秀。反正被权威组织点名媚外的，国女那可是头一份啊。你们继续打拳，我们继续“媚外”谁也别耽误谁。??,Medium,Defensive and Provocative,Sarcastic and Nationalistic,Contentious
_xDC36__xD83D_zz有空发这个不如去舔你默??的嘿d,High,Aggressive,Insulting and Offensive,Hostile
跟本不可能的事你在这杞人忧天啥，别看几个新闻就以为国女都媚黑了，,Low,Dismissive,Casual and Cynical,Skeptical
不会真有人想和小仙女结婚吧不会吧不会吧,Low,Dismissive,Casual,Skepticism
后面改成默也算人??,Low,Neutral,Casual,Neutral
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,High,Mocking,Confrontational and Dismissive,Contemptuous
在一些聊天交友软件，或者游戏里装成女的，骗舔狗的钱，这事我以前都干过发现舔狗简直精虫里没一点脑子,High,Mocking,Insulting and Dismissive,Contemptuous
她们被外国杂种羞辱了，国男愤怒受不了罢了。国女被好好对待，没人会反对,High,Discriminatory and Offensive,Derogatory and Insensitive,Negative
母人进来啦,Low,Casual,Informal,Neutral
为什么不发中国的研究？反同的是中国人,Low,Questioning,Neutral,Inquisitive
真的是快要超出我的承受力了，这女的这么恶心人的？,Medium,Frustrated,Negative,Disgust and Disapproval
超过西周？？？我说是放P。西周早就发明文字了，黑人什么时候有过文字？到现在还有原始社会。,High,Disrespectful and Racist,Derogatory and Ignorant,Prejudiced
原来是个臭gay,Medium,Insulting,Derogatory,Disrespectful
ezg喜欢，我们也没办法。老实人还是祈求以后不会娶到和动物玩过的ezg吧，毕竟房车彩礼不是那么好赚的,Medium,Disapproving,Sarcastic and Judgmental,Critical
作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,Medium,Dismissive,Casual and Rude,Defensive
政策，tm的看个足球赛是互撕大战，山东葱，东北啥啥，什么都有。,Low,Casual,Informal and colloquial,Neutral
我也歧视默啊，咋滴,Medium,Casual,Casual,Negative
可是为什么图上都是男的？难道是因为母人智商低下说话毫无公信力吗,High,Accusatory,Derogatory and Insulting,Contemptuous
连个正式关系都没有就嫌红包小，这和网络乞丐有什么区别？,Medium,Accusatory,Comparative and Judgemental,Critical
可别了，正常女的也会恶心女??的，起码我身边受过高等教育的女性都觉得女??傻逼,High,Disparaging,Insulting and Dismissive,Derogatory
是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,High,Derogatory,Contemptuous and Degrading,Disrespectful
下策囧你打草惊蛇，以后她就会隐藏喜欢黑人的想法，变成一颗诡雷[蹲],High,Disparaging,Insulting and Offensive,Malicious
急了，某些法西斯急了，还说我是黑孝zi，23333，某些fxs，够了?,Medium,Aggressive,Defamatory and Offensive,Angry
那tmd倒是嫁过去啊，在中国生活算怎么回事啊,Medium,Disrespectful,Informal and disrespectful language,Negative
主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd,Medium,Casual,Casual Internet Slang,Dismissive
幕刃这智商也是服了，自己妈妈说大实话不听，听网上的人吹牛逼,High,Critical,Sarcastic and Disrespectful,Derogatory
只希望她们去别的国家，不要在中国，华夏的土地不能被墨污染,Medium,Nationalistic,Protective and Exclusive,Defensive
看那些疯狗干什么，天天睡在自己的幻想乡里，动不动把人咬死,High,Aggressive,Derogatory and Violent,Malicious
黑人都是默默默默默默默默默默默,High,Repetitive,Derogatory,Racist
三个吧都没了，她们真废物,Medium,Disrespectful,Critical,Derogatory
建议小蚬屡加大力度，最好见面就得送一万元的东西，这样舔狗龟男保证死绝?,High,Aggressive,Derogatory and Offensive,Contemptuous
